rank,feature,coefficient,abs_coefficient,sign
209,num__MSSubClass,-186.96264083048703,186.96264083048703,negative
210,cat__HeatingQC_Fa,170.54996192314408,170.54996192314408,positive
211,num__LotFrontage,-157.59816768253768,157.59816768253768,negative
212,cat__PavedDrive_Y,156.4425145169094,156.4425145169094,positive
213,cat__BsmtFinType1_Rec,150.3601817362664,150.3601817362664,positive
214,cat__BsmtCond_Po,145.97046887959266,145.97046887959266,positive
215,num__YearRemodAdd,129.45377083650783,129.45377083650783,positive
216,num__BsmtHalfBath,-108.35670394840892,108.35670394840892,negative
217,cat__Exterior2nd_CBlock,-105.78715622977715,105.78715622977715,negative
218,cat__Exterior1st_CBlock,-105.78715622977715,105.78715622977715,negative
219,cat__Exterior2nd_AsphShn,-77.12117539586326,77.12117539586326,negative
220,cat__SaleCondition_Family,72.9157125500677,72.9157125500677,positive
221,num__3SsnPorch,62.828375080056915,62.828375080056915,positive
222,cat__Condition2_Feedr,50.1318843482307,50.1318843482307,positive
223,num__PoolArea,42.95661254953603,42.95661254953603,positive
224,num__ScreenPorch,37.58739688895231,37.58739688895231,positive
225,num__GrLivArea,35.86823360543759,35.86823360543759,positive
226,num__2ndFlrSF,21.75208754067659,21.75208754067659,positive
227,num__WoodDeckSF,21.69493043862456,21.69493043862456,positive
228,num__LowQualFinSF,14.690617946374733,14.690617946374733,positive
229,cat__MiscFeature_Othr,9.216887353488882,9.216887353488882,positive
230,cat__Exterior2nd_VinylSd,-9.065395781901731,9.065395781901731,negative
231,num__EnclosedPorch,8.986111784867495,8.986111784867495,positive
232,num__MasVnrArea,4.42874105700648,4.42874105700648,positive
233,num__GarageYrBlt,-3.6787188265945883,3.6787188265945883,negative
234,num__BsmtFinSF2,2.7643294054515213,2.7643294054515213,positive
235,num__TotalBsmtSF,2.5310066743509285,2.5310066743509285,positive
236,num__OpenPorchSF,-2.18012563377375,2.18012563377375,negative
237,num__GarageArea,0.9346081698136286,0.9346081698136286,positive
238,num__1stFlrSF,-0.5744701710309424,0.5744701710309424,negative
239,num__LotArea,0.41175873913291805,0.41175873913291805,positive
240,num__BsmtFinSF1,-0.1602755812404904,0.1602755812404904,negative
241,num__MiscVal,-0.15222449679759245,0.15222449679759245,negative
242,num__BsmtUnfSF,-0.07304811804470712,0.07304811804470712,negative
